timestamp,longitude,latitude,ve,vn,vd,heading,magx,magy,magz,mag
20000,-4.5043637253,48.49256394599999,0,0,0,3.075817308968825,-21229.52113568087,-1299.2467223060391,42976.544309051664,47951.68370812045
40000,-4.504363704,48.492563622300004,0,0,0,3.075817308968825,-21229.51394968543,-1299.2501695610752,42976.45358456569,47951.59930856657
60000,-4.5043636827,48.49256329859999,0,0,0,3.075817308968825,-21229.506729918587,-1299.2536341861125,42976.36259109261,47951.51465347751
80000,-4.5043636613,48.4925629749,0,0,0,3.075817308968825,-21229.499475388544,-1299.2571165832535,42976.271318438674,47951.42973328918
100000,-4.50436364,48.49256265119999,0,0,0,3.075817308968825,-21229.492187462514,-1299.2606162878071,42976.179783422886,47951.344563668434
120000,-4.5043636187,48.4925623275,0,0,0,3.075817308968825,-21229.48486514952,-1299.26413370214,42976.0879758664,47951.25913506491
140000,-4.5043635974,48.4925620038,0,0,0,3.075817308968825,-21229.477508240645,-1299.2676689416248,42975.99589456214,47951.17344630759
160000,-4.5043635761,48.49256168010001,0,0,0,3.075817308968825,-21229.470116525852,-1299.271222122343,42975.9035383011,47951.08749622328
180000,-4.5043635547,48.4925613564,0,0,0,3.075817308968825,-21229.462688984233,-1299.2747936595201,42975.81089668405,47951.00127505118
200000,-4.5043635334,48.4925610328,0,0,0,3.075817308968825,-21229.455229274252,-1299.278381984325,42975.71801496117,47950.91482492393
220000,-4.5043635121,48.4925607091,0,0,0,3.075817308968825,-21229.447731872544,-1299.2819896904632,42975.624826558626,47950.828083800225
240000,-4.5043634908,48.4925603854,0,0,0,3.075817308968825,-21229.44019880928,-1299.2856158113016,42975.531358293796,47950.74107658783
260000,-4.5043634694,48.4925600617,0,0,0,3.075817308968825,-21229.43262903941,-1299.2892607729875,42975.43759959814,47950.653793363825
280000,-4.5043634481,48.492559738,0,0,0,3.075817308968825,-21229.425023992313,-1299.292924088581,42975.343567821765,47950.566250298
300000,-4.5043634268,48.492559414300004,0,0,0,3.075817308968825,-21229.417382624913,-1299.2966061839852,42975.24925242578,47950.47843749487
320000,-4.5043634055,48.492559090600004,0,0,0,3.075817308968825,-21229.40970471362,-1299.300307183189,42975.154652133984,47950.39035371525
340000,-4.5043633842,48.4925587669,0,0,0,3.075817308968825,-21229.401990033613,-1299.3040272109627,42975.05976566788,47950.301997717346
360000,-4.5043633628,48.4925584432,0,0,0,3.075817308968825,-21229.39423750984,-1299.3077667070552,42974.96458225646,47950.2133593839
380000,-4.5043633415,48.4925581195,0,0,0,3.075817308968825,-21229.38644860791,-1299.3115251714785,42974.869119556715,47950.1244551754
400000,-4.5043633202,48.4925577958,0,0,0,3.075817308968825,-21229.378622253407,-1299.3153030444114,42974.773366810994,47950.03527498685
420000,-4.5043632989,48.4925574721,0,0,0,3.075817308968825,-21229.370758214438,-1299.319100454766,42974.67732270732,47949.94581754344
440000,-4.5043632775,48.4925571484,0,0,0,3.075817308968825,-21229.362855390085,-1299.3229178540905,42974.58097629581,47949.8560725565
460000,-4.5043632562,48.4925568247,0,0,0,3.075817308968825,-21229.354915276082,-1299.3267547314886,42974.48434548777,47949.76605672744
480000,-4.5043632349,48.492556501,0,0,0,3.075817308968825,-21229.34693677224,-1299.330611538904,42974.38741934831,47949.67575978137
500000,-4.5043632136,48.49255617730001,0,0,0,3.075817308968825,-21229.338919640326,-1299.3344884090902,42974.29019654257,47949.585180420276
520000,-4.5043631923,48.492555853599995,0,0,0,3.075817308968825,-21229.33086363903,-1299.338385476495,42974.19267571197,47949.49431732357
540000,-4.5043631709,48.4925555299,0,0,0,3.075817308968825,-21229.322767635655,-1299.3423032071541,42974.09484569789,47949.40316000184
560000,-4.5043631496,48.49255520620001,0,0,0,3.075817308968825,-21229.314633162972,-1299.3462410769325,42973.996724715646,47949.31172544502
580000,-4.5043631283,48.4925548825,0,0,0,3.075817308968825,-21229.306459088595,-1299.3501995525114,42973.89830161642,47949.22000317262
600000,-4.504363107,48.4925545588,0,0,0,3.075817308968825,-21229.298245164322,-1299.3541787724662,42973.79957501538,47949.12799183758
620000,-4.5043630857,48.4925542351,0,0,0,3.075817308968825,-21229.28999114057,-1299.358178876266,42973.700543524996,47949.03569008989
640000,-4.5043630643,48.4925539114,0,0,0,3.075817308968825,-21229.281695849513,-1299.3622003461087,42973.601195745825,47948.9430872092
660000,-4.504363043,48.4925535878,0,0,0,3.075817308968825,-21229.273363384513,-1299.3662414138378,42973.501580396136,47948.85022862323
680000,-4.5043630217,48.4925532641,0,0,0,3.075817308968825,-21229.264987550367,-1299.370305014179,42973.401625853636,47948.75704747834
700000,-4.5043630004,48.492552940399996,0,0,0,3.075817308968825,-21229.256570597125,-1299.3743900686393,42973.30136076283,47948.66357041401
720000,-4.504362979,48.4925526167,0,0,0,3.075817308968825,-21229.248111330093,-1299.3784970717738,42973.200773552955,47948.5697865448
740000,-4.5043629577,48.492552293,0,0,0,3.075817308968825,-21229.23961135277,-1299.3826254739115,42973.099883017785,47948.47571340966
760000,-4.5043629364,48.49255196930001,0,0,0,3.075817308968825,-21229.23106947165,-1299.386775769858,42972.99867760808,47948.38134014298
780000,-4.5043629151,48.4925516456,0,0,0,3.075817308968825,-21229.222485420534,-1299.3909481088683,42972.89715585705,47948.28666531661
800000,-4.5043628938,48.4925513219,0,0,0,3.075817308968825,-21229.21385893134,-1299.3951426413482,42972.79531629085,47948.19168749528
820000,-4.5043628724,48.4925509982,0,0,0,3.075817308968825,-21229.205188773012,-1299.3993598786717,42972.6931471002,47948.096395564164
840000,-4.5043628511,48.4925506745,0,0,0,3.075817308968825,-21229.196476590467,-1299.4035992560991,42972.59066741521,47948.00080738154
860000,-4.5043628298,48.4925503508,0,0,0,3.075817308968825,-21229.187721153347,-1299.4078612855315,42972.48786544258,47947.904911847276
880000,-4.5043628085,48.4925500271,0,0,0,3.075817308968825,-21229.178922185725,-1299.4121461221148,42972.384739678484,47947.80870749587
900000,-4.5043627871,48.4925497034,0,0,0,3.075817308968825,-21229.17007842575,-1299.41645429154,42972.281278109775,47947.71218301656
920000,-4.5043627658,48.49254937970001,0,0,0,3.075817308968825,-21229.161191552987,-1299.4207852163595,42972.17750014785,47947.61535653473
940000,-4.5043627445,48.492549056,0,0,0,3.075817308968825,-21229.15226030676,-1299.4251394225907,42972.073393801365,47947.51821675969
960000,-4.5043627232,48.4925487323,0,0,0,3.075817308968825,-21229.143284402147,-1299.429517070718,42971.96895752572,47947.42076218559
980000,-4.5043627019,48.4925484086,0,0,0,3.075817308968825,-21229.13426355132,-1299.4339183229017,42971.864189758635,47947.32299128949
1000000,-4.5043626805,48.4925480849,0,0,0,3.075817308968825,-21229.12519645419,-1299.4383437226402,42971.75907824432,47947.22489252674
1020000,-4.5043626592,48.4925477612,0,0,0,3.075817308968825,-21229.116084834503,-1299.4427926762924,42971.65364274847,47947.12648435936
1040000,-4.5043626379,48.4925474375,0,0,0,3.075817308968825,-21229.10692739178,-1299.4472657284846,42971.54787101941,47947.027755246265
1060000,-4.5043626166,48.4925471138,0,0,0,3.075817308968825,-21229.09772383012,-1299.4517630463074,42971.44176146838,47946.928703637335
1080000,-4.5043625952,48.49254679010001,0,0,0,3.075817308968825,-21229.088472817406,-1299.4562851882604,42971.33530163586,47946.829317791606
1100000,-4.5043625739,48.492546466499995,0,0,0,3.075817308968825,-21229.07917892303,-1299.4608301655996,42971.22854388506,47946.729646608015
1120000,-4.5043625526,48.4925461428,0,0,0,3.075817308968825,-21229.069835208426,-1299.4654012947105,42971.121411229775,47946.62961810734
1140000,-4.5043625313,48.49254581910001,0,0,0,3.075817308968825,-21229.060444163762,-1299.469997373952,42971.01393424972,47946.529260766285
1160000,-4.50436251,48.4925454954,0,0,0,3.075817308968825,-21229.051005480622,-1299.4746185778818,42970.90611129779,47946.42857297711
1180000,-4.5043624886,48.4925451717,0,0,0,3.075817308968825,-21229.041517785026,-1299.479265484652,42970.797929649445,47946.327542743355
1200000,-4.5043624673,48.492544848,0,0,0,3.075817308968825,-21229.031982881905,-1299.483937470952,42970.68940970717,47946.22618913284
1220000,-4.504362446,48.4925445243,0,0,0,3.075817308968825,-21229.022399399106,-1299.4886351150333,42970.58053877699,47946.1245001773
1240000,-4.5043624247,48.4925442006,0,0,0,3.075817308968825,-21229.012767017448,-1299.4933585978313,42970.47131516043,47946.02247421839
1260000,-4.5043624033,48.4925438769,0,0,0,3.075817308968825,-21229.003084328568,-1299.4981085137183,42970.36172591824,47945.920099052455
1280000,-4.504362382,48.4925435532,0,0,0,3.075817308968825,-21228.993353176334,-1299.5028842249242,42970.25179175993,47945.8173940393
1300000,-4.5043623607,48.49254322950001,0,0,0,3.075817308968825,-21228.983572152923,-1299.5076863265815,42970.14149976273,47945.7143469903
